Algorithm,Vector Size,Average Time
b,10,3.0111e-07
b,60,5.48438e-06
b,110,1.91057e-05
b,160,3.69718e-05
b,210,6.42659e-05
b,260,9.6551e-05
b,310,0.000143093
b,360,0.000188307
b,410,0.000244208
b,460,0.000308985
b,510,0.000373582
b,560,0.000452128
b,610,0.000538619
b,660,0.000615239
b,710,0.00071808
b,760,0.00083221
b,810,0.000933264
b,860,0.00105663
b,910,0.00119049
b,960,0.00136119
b,1010,0.00151859
i,10,5.6828e-07
i,60,7.24423e-06
i,110,2.16326e-05
i,160,4.38547e-05
i,210,8.40159e-05
i,260,0.000109945
i,310,0.000155546
i,360,0.000213004
i,410,0.000270892
i,460,0.000348313
i,510,0.000417746
i,560,0.00049912
i,610,0.00059584
i,660,0.000700519
i,710,0.000834081
i,760,0.000941408
i,810,0.00108081
i,860,0.00120739
i,910,0.00147399
i,960,0.00165031
i,1010,0.00229467
s,10,5.0239e-07
s,60,5.36943e-06
s,110,1.59813e-05
s,160,3.23742e-05
s,210,5.51058e-05
s,260,8.45773e-05
s,310,0.0001172
s,360,0.000154141
s,410,0.000199466
s,460,0.000251427
s,510,0.00033741
s,560,0.000366644
s,610,0.000432741
s,660,0.000509785
s,710,0.000580317
s,760,0.000676912
s,810,0.000754789
s,860,0.000846693
s,910,0.000946982
s,960,0.00105571
s,1010,0.00115394
m,10,7.5827e-07
m,60,2.9403e-06
m,110,5.08518e-06
m,160,6.89637e-06
m,210,9.24109e-06
m,260,1.14438e-05
m,310,1.3864e-05
m,360,1.62591e-05
m,410,1.83911e-05
m,460,2.12905e-05
m,510,2.32001e-05
m,560,2.64356e-05
m,610,2.83152e-05
m,660,3.05898e-05
m,710,3.35593e-05
m,760,3.52853e-05
m,810,4.18457e-05
m,860,5.01148e-05
m,910,5.91364e-05
m,960,5.94546e-05
m,1010,6.25907e-05
q,10,8.7692e-07
q,60,2.43458e-06
q,110,4.57377e-06
q,160,7.61743e-06
q,210,8.11794e-06
q,260,1.10995e-05
q,310,1.15555e-05
q,360,1.44545e-05
q,410,1.72972e-05
q,460,1.8528e-05
q,510,2.29602e-05
q,560,2.20931e-05
q,610,2.53443e-05
q,660,2.92458e-05
q,710,2.73581e-05
q,760,3.11107e-05
q,810,3.71297e-05
q,860,3.74334e-05
q,910,4.15335e-05
q,960,4.1206e-05
q,1010,3.98241e-05
h,10,7.7687e-07
h,60,4.29022e-06
h,110,8.27327e-06
h,160,1.06253e-05
h,210,1.98557e-05
h,260,1.79514e-05
h,310,2.26161e-05
h,360,2.82527e-05
h,410,3.54698e-05
h,460,3.69265e-05
h,510,4.46379e-05
h,560,5.19825e-05
h,610,4.95779e-05
h,660,5.59179e-05
h,710,6.07141e-05
h,760,6.69768e-05
h,810,7.69302e-05
h,860,7.96472e-05
h,910,9.20037e-05
h,960,7.97881e-05
h,1010,8.6532e-05
c,10,2.7902e-07
c,60,2.4853e-07
c,110,2.5431e-07
c,160,2.7978e-07
c,210,3.1902e-07
c,260,2.2784e-07
c,310,2.2397e-07
c,360,2.5941e-07
c,410,2.053e-07
c,460,2.1813e-07
c,510,2.2073e-07
c,560,2.2894e-07
c,610,2.3295e-07
c,660,2.7936e-07
c,710,1.9447e-07
c,760,1.9831e-07
c,810,2.0079e-07
c,860,2.2551e-07
c,910,2.198e-07
c,960,2.1806e-07
c,1010,2.179e-07
bs,10,3.4786e-07
bs,60,7.4141e-07
bs,110,1.07262e-06
bs,160,3.17427e-06
bs,210,2.06635e-06
bs,260,2.17916e-06
bs,310,2.7159e-06
bs,360,3.3134e-06
bs,410,5.93845e-06
bs,460,4.71973e-06
bs,510,4.61174e-06
bs,560,4.93022e-06
bs,610,5.1492e-06
bs,660,5.4907e-06
bs,710,5.57124e-06
bs,760,5.81043e-06
bs,810,6.49757e-06
bs,860,7.49226e-06
bs,910,6.95663e-06
bs,960,9.12642e-06
bs,1010,7.1111e-06
r,10,8.7804e-07
r,60,2.12366e-06
r,110,5.29961e-06
r,160,6.87102e-06
r,210,8.70164e-06
r,260,1.10343e-05
r,310,1.27515e-05
r,360,1.48442e-05
r,410,1.64968e-05
r,460,1.87102e-05
r,510,2.22852e-05
r,560,2.29803e-05
r,610,3.70241e-05
r,660,2.32939e-05
r,710,2.75507e-05
r,760,3.08865e-05
r,810,3.41206e-05
r,860,4.45406e-05
r,910,3.35063e-05
r,960,3.83271e-05
r,1010,6.10126e-05
