Algorithm,Vector Size,Average Time
b,10,2.3798e-07
b,60,3.35636e-06
b,110,1.11352e-05
b,160,2.39417e-05
b,210,3.77516e-05
b,260,5.9515e-05
b,310,8.14334e-05
b,360,0.00011087
b,410,0.000144101
b,460,0.000179054
b,510,0.000223481
b,560,0.000284671
b,610,0.000331085
b,660,0.000380038
b,710,0.000457649
b,760,0.000493886
b,810,0.000565565
b,860,0.000668996
b,910,0.000702698
b,960,0.000808413
b,1010,0.000923347
i,10,2.5254e-07
i,60,4.9825e-07
i,110,7.2762e-07
i,160,1.00446e-06
i,210,1.22323e-06
i,260,2.91104e-06
i,310,1.79702e-06
i,360,2.01275e-06
i,410,2.19934e-06
i,460,2.85023e-06
i,510,2.75675e-06
i,560,3.03904e-06
i,610,3.5184e-06
i,660,3.53673e-06
i,710,3.71616e-06
i,760,4.00162e-06
i,810,4.3264e-06
i,860,4.53264e-06
i,910,4.72508e-06
i,960,4.99884e-06
i,1010,5.32718e-06
s,10,3.6615e-07
s,60,5.00083e-06
s,110,1.54471e-05
s,160,3.22129e-05
s,210,5.3263e-05
s,260,8.20719e-05
s,310,0.000118187
s,360,0.000158031
s,410,0.000198156
s,460,0.000249222
s,510,0.000323666
s,560,0.000403951
s,610,0.000444541
s,660,0.000562461
s,710,0.000658494
s,760,0.000701389
s,810,0.000786027
s,860,0.000844178
s,910,0.00105507
s,960,0.00104018
s,1010,0.00124713
m,10,7.8685e-07
m,60,2.85334e-06
m,110,5.65783e-06
m,160,8.70063e-06
m,210,1.2094e-05
m,260,1.61541e-05
m,310,1.97007e-05
m,360,2.44966e-05
m,410,2.74436e-05
m,460,3.22829e-05
m,510,4.93821e-05
m,560,2.9304e-05
m,610,3.78802e-05
m,660,3.80432e-05
m,710,4.65915e-05
m,760,4.71583e-05
m,810,5.00039e-05
m,860,5.31817e-05
m,910,5.84152e-05
m,960,5.41585e-05
m,1010,6.55963e-05
q,10,6.7276e-07
q,60,2.43387e-06
q,110,3.58635e-06
q,160,6.00012e-06
q,210,6.68935e-06
q,260,8.1421e-06
q,310,1.05223e-05
q,360,1.17094e-05
q,410,1.43086e-05
q,460,1.79229e-05
q,510,1.79774e-05
q,560,2.29084e-05
q,610,2.42872e-05
q,660,2.73577e-05
q,710,3.02427e-05
q,760,3.05037e-05
q,810,3.53896e-05
q,860,3.02963e-05
q,910,3.27802e-05
q,960,3.29666e-05
q,1010,3.5132e-05
h,10,6.0446e-07
h,60,2.58712e-06
h,110,5.02549e-06
h,160,7.72965e-06
h,210,9.67433e-06
h,260,1.41196e-05
h,310,1.74339e-05
h,360,1.9669e-05
h,410,2.26228e-05
h,460,3.26245e-05
h,510,2.81253e-05
h,560,3.48978e-05
h,610,3.68106e-05
h,660,3.99698e-05
h,710,4.48774e-05
h,760,4.62418e-05
h,810,4.81957e-05
h,860,5.23769e-05
h,910,6.52455e-05
h,960,5.56641e-05
h,1010,5.82498e-05
c,10,2.5908e-07
c,60,2.5662e-07
c,110,2.5089e-07
c,160,2.4723e-07
c,210,2.4587e-07
c,260,3.2393e-07
c,310,2.4896e-07
c,360,2.2766e-07
c,410,2.7524e-07
c,460,3.2609e-07
c,510,2.3967e-07
c,560,2.4086e-07
c,610,2.3301e-07
c,660,2.6319e-07
c,710,2.4238e-07
c,760,2.3253e-07
c,810,2.4239e-07
c,860,2.4875e-07
c,910,2.468e-07
c,960,2.542e-07
c,1010,3.004e-07
bs,10,3.3442e-07
bs,60,7.174e-07
bs,110,1.23925e-06
bs,160,1.34863e-06
bs,210,1.96953e-06
bs,260,2.31329e-06
bs,310,2.444e-06
bs,360,3.04033e-06
bs,410,3.42134e-06
bs,460,3.5798e-06
bs,510,3.98014e-06
bs,560,4.52372e-06
bs,610,7.22012e-06
bs,660,4.40455e-06
bs,710,5.4136e-06
bs,760,5.9156e-06
bs,810,6.39478e-06
bs,860,6.97888e-06
bs,910,7.6989e-06
bs,960,7.62649e-06
bs,1010,8.72217e-06
r,10,7.888e-07
r,60,2.50904e-06
r,110,5.8621e-06
r,160,6.54047e-06
r,210,9.70922e-06
r,260,1.12939e-05
r,310,1.35006e-05
r,360,1.76132e-05
r,410,2.29157e-05
r,460,1.87592e-05
r,510,2.12841e-05
r,560,2.42996e-05
r,610,2.6839e-05
r,660,2.78644e-05
r,710,3.20071e-05
r,760,3.3579e-05
r,810,3.86992e-05
r,860,4.09629e-05
r,910,4.08728e-05
r,960,4.09969e-05
r,1010,5.87527e-05
