Algorithm,Vector Size,Average Time
b,10,2.436e-07
b,60,3.44334e-06
b,110,1.15399e-05
b,160,2.24962e-05
b,210,3.89534e-05
b,260,5.88482e-05
b,310,8.52022e-05
b,360,0.000109586
b,410,0.000144566
b,460,0.000184727
b,510,0.000220726
b,560,0.000264268
b,610,0.000316258
b,660,0.000365744
b,710,0.000426752
b,760,0.000484074
b,810,0.000551782
b,860,0.00061798
b,910,0.000692406
b,960,0.000773292
b,1010,0.000852914
i,10,1.5544e-07
i,60,2.7354e-07
i,110,3.914e-07
i,160,4.9954e-07
i,210,6.043e-07
i,260,6.9856e-07
i,310,8.058e-07
i,360,8.8948e-07
i,410,1.02248e-06
i,460,1.13894e-06
i,510,1.27552e-06
i,560,1.35532e-06
i,610,1.44378e-06
i,660,1.51714e-06
i,710,1.59978e-06
i,760,1.73978e-06
i,810,1.81632e-06
i,860,2.01456e-06
i,910,2.14318e-06
i,960,2.25194e-06
i,1010,2.80618e-06
s,10,3.1682e-07
s,60,3.41194e-06
s,110,1.05609e-05
s,160,2.17794e-05
s,210,3.65634e-05
s,260,5.44658e-05
s,310,7.63738e-05
s,360,0.000102269
s,410,0.000133094
s,460,0.00016527
s,510,0.000204222
s,560,0.00024348
s,610,0.000288674
s,660,0.000342584
s,710,0.000409184
s,760,0.000449342
s,810,0.000503728
s,860,0.000574408
s,910,0.000634366
s,960,0.000711784
s,1010,0.000782136
m,10,1.1381e-06
m,60,4.0383e-06
m,110,6.85462e-06
m,160,1.01326e-05
m,210,1.26201e-05
m,260,1.54998e-05
m,310,1.94933e-05
m,360,2.36116e-05
m,410,3.35398e-05
m,460,2.66864e-05
m,510,2.95914e-05
m,560,3.31798e-05
m,610,3.60612e-05
m,660,3.92004e-05
m,710,4.14492e-05
m,760,4.50172e-05
m,810,4.82648e-05
m,860,5.126e-05
m,910,5.77322e-05
m,960,5.67114e-05
m,1010,5.92182e-05
q,10,4.5772e-07
q,60,1.32516e-06
q,110,2.19126e-06
q,160,3.08574e-06
q,210,3.87306e-06
q,260,4.38318e-06
q,310,5.47224e-06
q,360,6.48546e-06
q,410,7.39684e-06
q,460,7.79008e-06
q,510,7.9727e-06
q,560,9.32196e-06
q,610,1.06646e-05
q,660,1.18675e-05
q,710,1.27981e-05
q,760,1.3872e-05
q,810,1.6902e-05
q,860,1.53817e-05
q,910,1.55853e-05
q,960,1.60193e-05
q,1010,1.64208e-05
h,10,2.8538e-07
h,60,1.01348e-06
h,110,2.14386e-06
h,160,2.9985e-06
h,210,3.876e-06
h,260,5.43932e-06
h,310,6.30354e-06
h,360,7.07938e-06
h,410,8.12504e-06
h,460,9.29488e-06
h,510,1.03877e-05
h,560,1.24115e-05
h,610,1.33182e-05
h,660,1.49356e-05
h,710,1.56374e-05
h,760,1.69038e-05
h,810,1.77252e-05
h,860,1.86265e-05
h,910,2.00716e-05
h,960,2.09512e-05
h,1010,2.2996e-05
c,10,1.7122e-07
c,60,1.6704e-07
c,110,1.6678e-07
c,160,1.6714e-07
c,210,1.8074e-07
c,260,1.6302e-07
c,310,1.7418e-07
c,360,1.7082e-07
c,410,2.5526e-07
c,460,1.5992e-07
c,510,1.6988e-07
c,560,1.7296e-07
c,610,1.6998e-07
c,660,1.7858e-07
c,710,1.6956e-07
c,760,1.656e-07
c,810,1.6908e-07
c,860,1.6438e-07
c,910,1.6882e-07
c,960,1.7328e-07
c,1010,1.8066e-07
bs,10,2.6124e-07
bs,60,5.6002e-07
bs,110,8.5102e-07
bs,160,1.14846e-06
bs,210,1.44226e-06
bs,260,1.74878e-06
bs,310,2.05656e-06
bs,360,2.31182e-06
bs,410,2.62712e-06
bs,460,2.8999e-06
bs,510,3.18882e-06
bs,560,3.56594e-06
bs,610,3.88654e-06
bs,660,4.25854e-06
bs,710,4.63946e-06
bs,760,5.05276e-06
bs,810,5.4589e-06
bs,860,7.04298e-06
bs,910,6.1163e-06
bs,960,6.8313e-06
bs,1010,7.2291e-06
r,10,4.24e-07
r,60,1.86138e-06
r,110,4.0156e-06
r,160,5.45634e-06
r,210,7.42536e-06
r,260,9.87306e-06
r,310,1.20037e-05
r,360,1.90305e-05
r,410,1.64483e-05
r,460,2.01078e-05
r,510,2.00086e-05
r,560,2.13328e-05
r,610,3.15464e-05
r,660,2.4813e-05
r,710,2.85e-05
r,760,2.9597e-05
r,810,3.6925e-05
r,860,3.61164e-05
r,910,3.6825e-05
r,960,4.43966e-05
r,1010,5.34988e-05
