Algorithm,Vector Size,Average Time
b,10,1.02e-06
b,60,1.4186e-05
b,110,1.7373e-05
b,160,3.8063e-05
b,210,6.854e-05
b,260,0.000118901
b,310,0.00014835
b,360,0.00020692
b,410,0.000448865
b,460,0.000299318
b,510,0.000434258
b,560,0.000491984
b,610,0.000618323
b,660,0.000659144
b,710,0.000729016
b,760,0.00107786
b,810,0.000975078
b,860,0.00109107
b,910,0.00118274
b,960,0.00153161
b,1010,0.00197483
i,10,4.81e-07
i,60,5.307e-06
i,110,1.4944e-05
i,160,3.0641e-05
i,210,5.5562e-05
i,260,6.1728e-05
i,310,8.7181e-05
i,360,0.000169574
i,410,0.000196637
i,460,0.00017962
i,510,0.00031201
i,560,0.000278851
i,610,0.000406921
i,660,0.000580789
i,710,0.000465997
i,760,0.00053715
i,810,0.000862633
i,860,0.000628525
i,910,0.000756966
i,960,0.000770916
i,1010,0.000880583
s,10,7.71e-07
s,60,4.086e-06
s,110,1.1488e-05
s,160,2.6853e-05
s,210,3.794e-05
s,260,5.7308e-05
s,310,8.7386e-05
s,360,0.000116721
s,410,0.000153373
s,460,0.00018422
s,510,0.000236225
s,560,0.000251699
s,610,0.000316103
s,660,0.000372441
s,710,0.000447571
s,760,0.000474473
s,810,0.000645496
s,860,0.000595919
s,910,0.000636637
s,960,0.000726386
s,1010,0.000768997
m,10,1.39e-06
m,60,4.459e-06
m,110,6.638e-06
m,160,1.1019e-05
m,210,1.3621e-05
m,260,1.6413e-05
m,310,1.8563e-05
m,360,3.0872e-05
m,410,2.5527e-05
m,460,2.6682e-05
m,510,2.8543e-05
m,560,4.7696e-05
m,610,3.549e-05
m,660,4.2092e-05
m,710,4.24e-05
m,760,4.632e-05
m,810,5.1393e-05
m,860,7.8563e-05
m,910,5.5777e-05
m,960,6.3327e-05
m,1010,6.0522e-05
q,10,6.87e-07
q,60,1.558e-06
q,110,2.941e-06
q,160,3.756e-06
q,210,4.815e-06
q,260,4.954e-06
q,310,6.133e-06
q,360,6.94e-06
q,410,8.221e-06
q,460,1.0927e-05
q,510,9.899e-06
q,560,1.3828e-05
q,610,1.1655e-05
q,660,1.6276e-05
q,710,1.5243e-05
q,760,1.8493e-05
q,810,1.5999e-05
q,860,1.6633e-05
q,910,1.7366e-05
q,960,1.6751e-05
q,1010,1.7867e-05
h,10,6.06e-07
h,60,1.977e-06
h,110,4.085e-06
h,160,4.489e-06
h,210,6.891e-06
h,260,8.509e-06
h,310,1.1239e-05
h,360,1.3549e-05
h,410,1.3915e-05
h,460,2.1711e-05
h,510,1.9028e-05
h,560,2.0997e-05
h,610,2.1698e-05
h,660,2.4426e-05
h,710,2.5469e-05
h,760,2.7348e-05
h,810,3.5831e-05
h,860,3.2025e-05
h,910,3.3923e-05
h,960,3.7863e-05
h,1010,3.5617e-05
c,10,3.61e-07
c,60,2.71e-07
c,110,5.69e-07
c,160,2.34e-07
c,210,2.92e-07
c,260,3.72e-07
c,310,2.33e-07
c,360,2.59e-07
c,410,2.51e-07
c,460,4.57e-07
c,510,3.19e-07
c,560,2.31e-07
c,610,3.18e-07
c,660,2.67e-07
c,710,2.68e-07
c,760,2.41e-07
c,810,3.62e-07
c,860,2.2e-07
c,910,4.43e-07
c,960,4.68e-07
c,1010,2.55e-07
bs,10,
bs,60,
bs,110,
bs,160,
bs,210,
bs,260,
bs,310,
bs,360,
bs,410,
bs,460,
bs,510,
bs,560,
bs,610,
bs,660,
bs,710,
bs,760,
bs,810,
bs,860,
bs,910,
bs,960,
bs,1010,
r,10,7.58e-07
r,60,1.861e-06
r,110,4.066e-06
r,160,6.989e-06
r,210,6.972e-06
r,260,8.385e-06
r,310,1.0336e-05
r,360,1.6233e-05
r,410,1.2607e-05
r,460,1.5844e-05
r,510,1.7435e-05
r,560,1.7419e-05
r,610,2.2228e-05
r,660,2.0589e-05
r,710,2.4825e-05
r,760,3.3865e-05
r,810,3.9138e-05
r,860,3.7452e-05
r,910,3.1163e-05
r,960,3.145e-05
r,1010,4.4523e-05
